announced_date,rate,actual_date
11.02.2022,"9,50",14 февраля 2022
17.12.2021,"8,50",20 декабря 2021
22.10.2021,"7,50",25 октября 2021
10.09.2021,"6,75",13 сентября 2021
23.07.2021,"6,50",26 июля 2021
11.06.2021,"5,50",15 июня 2021
23.04.2021,"5,00",26 апреля 2021
19.03.2021,"4,50",22 марта 2021
24.07.2020,"4,25",27 июля 2020
19.06.2020,"4,50",22 июня 2020
24.04.2020,"5,50",27 апреля 2020
07.02.2020,"6,00",10 февраля 2020
13.12.2019,"6,25",16 декабря 2019
25.10.2019,"6,50",28 октября 2019
06.09.2019,"7,00",9 сентября 2019
26.07.2019,"7,25",29 июля 2019
14.06.2019,"7,50",17 июня 2019
14.12.2018,"7,75",17 декабря 2018
14.09.2018,"7,50",17 сентября 2018
23.03.2018,"7,25",26 марта 2018
09.02.2018,"7,50",12 февраля 2018
15.12.2017,"7,75",18 декабря 2017
27.10.2017,"8,25",30 октября 2017
15.09.2017,"8,50",18 сентября 2017
16.06.2017,"9,00",19 июня 2017
28.04.2017,"9,25",2 мая 2017
24.03.2017,"9,75",27 марта 2017
16.09.2016,"10,00",19 сентября 2016
10.06.2016,"10,50",14 июня 2016
31.07.2015,"11,00",3 августа 2015
15.06.2015,"11,50",16 июня 2015
30.04.2015,"12,50",5 мая 2015
13.03.2015,"14,00",16 марта 2015
30.01.2015,"15,00",2 февраля 2015
16.12.2014,"17,00",16 декабря 2014
11.12.2014,"10,50",12 декабря 2014
31.10.2014,"9,50",5 ноября 2014
25.07.2014,"8,00",28 июля 2014
25.04.2014,"7,50",28 апреля 2014
03.03.2014,"7,00",3 марта 2014
13.09.2013,"5,50",13 сентября 2013