0;1;2;3;4;5
1;03.02.2010;Пресс-релиз;Об условиях проведения Банком России 04.02.2010 операций по предоставлению кредитным организациям обеспеченных кредитов Банка России;"Департамент внешних и общественных связей Банка России сообщает условия проведения Банком России 4 февраля 2010 года операций по предоставлению кредитным организациям обеспеченных кредитов Банка России.




Время приема заявлений/заявок кредитных организаций c 9:00 до 17:00
Время приема заявлений/заявок кредитных организаций с использованием Системы электронных торгов ЗАО «ММВБ» *
сессия 1 с 11:00 до 12:00
сессия 2 с 15:00 до 17:00
*по Московскому времени


При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100203_101623kredit-stavka.htm
2;03.02.2010;Пресс-релиз;Об условиях проведения Банком России 03.02.2010 операций по привлечению денежных средств в депозиты;"Департамент внешних и общественных связей Банка России сообщает условия проведения Банком России 3 февраля 2010 года операций по привлечению денежных средств кредитных организаций в валюте Российской Федерации в депозиты, открываемые в Банке России, на стандартных условиях по фиксированным процентным ставкам.




Минимальная сумма, принимаемая Банком России в депозит:



Время приема обращений/заявок кредитных организаций о заключении депозитной сделки на стандартном условии по фиксированной процентной ставке, о востребовании депозита «до востребования»:



При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100203_101620depozit-stavk.htm
3;03.02.2010;Пресс-релиз;О проведении депозитных аукционов;"Департамент внешних и общественных связей Банка России сообщает, что Центральный банк Российской Федерации 4 февраля 2010 года (четверг) проведет депозитные аукционы с кредитными организациями — резидентами Российской Федерации.

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100203_155532depozit.htm
4;02.02.2010;Пресс-релиз;Об условиях проведения Банком России 02.02.2010 операций по привлечению денежных средств в депозиты;"Департамент внешних и общественных связей Банка России сообщает условия проведения Банком России 2 февраля 2010 года операций по привлечению денежных средств кредитных организаций в валюте Российской Федерации в депозиты, открываемые в Банке России, на стандартных условиях по фиксированным процентным ставкам.




Минимальная сумма, принимаемая Банком России в депозит:



Время приема обращений/заявок кредитных организаций о заключении депозитной сделки на стандартном условии по фиксированной процентной ставке, о востребовании депозита «до востребования»:


При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100202_110217depozit-stavk.htm
5;02.02.2010;Пресс-релиз;Об условиях проведения Банком России 03.02.2010 операций по предоставлению кредитным организациям обеспеченных кредитов Банка России;"Департамент внешних и общественных связей Банка России сообщает условия проведения Банком России 3 февраля 2010 года операций по предоставлению кредитным организациям обеспеченных кредитов Банка России.




Время приема заявлений/заявок кредитных организаций c 9:00 до 17:00
Время приема заявлений/заявок кредитных организаций с использованием Системы электронных торгов ЗАО «ММВБ» *
сессия 1 с 11:00 до 12:00
сессия 2 с 15:00 до 17:00
*по Московскому времени

При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100202_105712kredit-stavka.htm
6;02.02.2010;Пресс-релиз;Об итогах проведения ломбардных кредитных аукционов;"Департамент внешних и общественных связей Банка России сообщает, что 2 февраля 2010 года Центральный банк Российской Федерации провел ломбардные кредитные аукционы по американскому способу:
— со сроком кредита 2 недели (14 календарных дней), дата предоставления ломбардного кредита Банка России по итогам аукциона — 3 февраля 2010 года, дата погашения ломбардного кредита и уплаты процентов по нему — 17 февраля 2010 года;
— со сроком кредита 3 месяца (91 календарный день), дата предоставления ломбардного кредита Банка России по итогам аукциона — 3 февраля 2010 года, дата погашения ломбардного кредита и уплаты процентов по нему — 5 мая 2010 года;
— со сроком кредита 6 месяцев (182 календарных дня), дата предоставления ломбардного кредита Банка России по итогам аукциона — 3 февраля 2010 года, дата погашения ломбардного кредита и уплаты процентов по нему — 4 августа 2010 года;
— со сроком кредита 12 месяцев (364 календарных дня), дата предоставления ломбардного кредита Банка России по итогам аукциона — 3 февраля 2010 года, дата погашения ломбардного кредита и уплаты процентов по нему — 2 февраля 2011 года.
По итогам аукциона со сроком предоставления денежных средств на 2 недели установлена ставка отсечения в размере 6,00% годовых.
Средневзвешенная процентная ставка — 6,02% годовых.
По итогам аукциона со сроком предоставления денежных средств на 3 месяца установлена ставка отсечения в размере 7,53% годовых.
Средневзвешенная процентная ставка — 7,57% годовых.
Ломбардный кредитный аукцион со сроком предоставления денежных средств на 6 месяцев признан несостоявшимся в связи с отсутствием заявок.
Ломбардный кредитный аукцион со сроком предоставления денежных средств на 12 месяцев признан несостоявшимся в связи с участием одной кредитной организации
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100202_184831lomb11-big.htm
7;01.02.2010;Пресс-релиз;Об уточнении персонального состава временной администрации;"Департамент внешних и общественных связей Банка России сообщает, что в связи с производственной необходимостью и в дополнение к приказу Банка России от 23.12.2009 № ОД-815 «О назначении временной администрации по управлению кредитной организацией Закрытое акционерное общество „МЕГА БАНК“ ЗАО „МЕГА БАНК“ (г. Тюмень) в связи с отзывом лицензии на осуществление банковских операций» Банк России принял решение (приказ от 01.02.2010 № ОД-46) вывести с 2 февраля 2010 года из состава временной администрации по управлению кредитной организацией Закрытое акционерное общество «МЕГА БАНК» Коврижных Максима Александровича — инженера-программиста 1 категории сектора сопровождения систем экономического анализа отдела эксплуатации информационно-вычислительных систем Регионального центра информатизации ГУ Банка России по Тюменской области.
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100201_125242v-sos1.htm
8;01.02.2010;Пресс-релиз;О прекращении деятельности временной администрации;"Департамент внешних и общественных связей Банка России сообщает, что в связи с решением Арбитражного суда г. Москвы от 21.01.2010 о признании несостоятельной (банкротом) кредитной организации Общество с ограниченной ответственностью Коммерческий банк «Кубань» ООО КБ «Кубань» (г. Москва) (регистрационный номер Банка России 98, дата регистрации 12.12.1991) и назначением конкурсного управляющего, в соответствии с пунктом 4 статьи 18 Федерального закона «О несостоятельности (банкротстве) кредитных организаций» Банк России принял решение (приказ от 01.02.2010 № ОД-47) прекратить с 2 февраля 2010 года деятельность временной администрации по управлению кредитной организацией Общество с ограниченной ответственностью Коммерческий банк «Кубань», назначенной приказом Банка России от 18.11.2009 № ОД-739 «О назначении временной администрации по управлению кредитной организацией Общество с ограниченной ответственностью Коммерческий банк „Кубань“ ООО КБ „Кубань“ (г. Москва) в связи с отзывом лицензии на осуществление банковских операций».
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100201_125240bank9-prekras.htm
9;01.02.2010;Пресс-релиз;О прекращении деятельности временной администрации;"Департамент внешних и общественных связей Банка России сообщает, что в связи с решением Арбитражного суда г. Москвы от 21.01.2010 о признании несостоятельной (банкротом) кредитной организации Коммерческий Банк «Либра» (Общество с ограниченной ответственностью) КБ «Либра» ООО (г. Москва) (регистрационный номер Банка России 2980, дата регистрации — 18.07.1994) и назначением конкурсного управляющего, в соответствии с пунктом 4 статьи 18 Федерального закона «О несостоятельности (банкротстве) кредитных организаций» Банк России принял решение (приказ от 01.02.2010 № ОД-45) прекратить с 2 февраля 2010 года деятельность временной администрации по управлению кредитной организацией Коммерческий Банк «Либра» (Общество с ограниченной ответственностью), назначенной приказом Банка России от 08.10.2009 № ОД-646 «О назначении временной администрации по управлению кредитной организацией Коммерческий Банк „Либра“ (Общество с ограниченной ответственностью) КБ „Либра“ ООО (г. Москва) в связи с отзывом лицензии на осуществление банковских операций».
При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100201_123635bank8-prekras.htm
10;01.02.2010;Пресс-релиз;О результатах мониторинга максимальных процентных ставок кредитных организаций;"Департамент внешних и общественных связей Банка России сообщает результаты мониторинга в январе 2010 г. максимальных процентных ставок (по вкладам в российских рублях) десяти кредитных организаций1 , привлекающих наибольший объём депозитов физических лиц.
I декада января — 12,97%
II декада января — 12,41%
III декада января — 11,91%

1 СБЕРБАНК РОССИИ (1481) — www.sbrf.ru , ВТБ 24 (1623) — www.vtb-24.ru, БАНК МОСКВЫ (2748) - www.bm.ru, РАЙФФАЙЗЕНБАНК (3292) — www.raiffeisen.ru, ГАЗПРОМБАНК (354) — www.gazprombank.ru, РОСБАНК (2272) — www.rosbank.ru, АЛЬФА-БАНК (1326) — www.alfabank.ru, УРАЛСИБ (2275) — www.bankuralsib.ru, МДМ БАНК (323) — www.mdm.ru (mdm.ru) , ПРОМСВЯЗЬБАНК (3251) — www.psbank.ru. Мониторинг проведен Департаментом банковского регулирования и надзора Банка России с использованием информации, представленной на указанных Web-сайтах.


При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100201_123141monitoring.htm
11;01.02.2010;Пресс-релиз;Об условиях проведения Банком России 01.02.2010 операций по привлечению денежных средств в депозиты;"Департамент внешних и общественных связей Банка России сообщает условия проведения Банком России 1 февраля 2010 года операций по привлечению денежных средств кредитных организаций в валюте Российской Федерации в депозиты, открываемые в Банке России, на стандартных условиях по фиксированным процентным ставкам.




Минимальная сумма, принимаемая Банком России в депозит:



Время приема обращений/заявок кредитных организаций о заключении депозитной сделки на стандартном условии по фиксированной процентной ставке, о востребовании депозита «до востребования»:



При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100201_110225depozit-stavk.htm
12;01.02.2010;Пресс-релиз;Об условиях проведения Банком России 02.02.2010 операций по предоставлению кредитным организациям обеспеченных кредитов Банка России;"Департамент внешних и общественных связей Банка России сообщает условия проведения Банком России 2 февраля 2010 года операций по предоставлению кредитным организациям обеспеченных кредитов Банка России.




Время приема заявлений/заявок кредитных организаций c 9:00 до 17:00
Время приема заявлений/заявок кредитных организаций с использованием Системы электронных торгов ЗАО «ММВБ» *
сессия 1 с 11:00 до 12:00
сессия 2 с 15:00 до 17:00
*по Московскому времени


При использовании материала ссылка на Пресс-службу Банка России обязательна.";http://www.cbr.ru/press/PR/?file=100201_104815kredit-stavka.htm
